program,fuzzer,seed,version,paths_1h,paths_2h,paths_3h,paths_4h,paths_5h,paths_6h
tcpdump,aflgo,valid,tcpdump,0.380967,0.532742,0.690024,0.772338,0.880661,0.976744
base64,afl-1.94b,valid,lava-m,0.885333,0.925333,1.04267,1.08267,1.09333,1.096
base64,afl-2.40b,valid,lava-m,0.661333,0.674667,0.677333,0.682667,0.685333,0.746667
base64,afl-2.49b,valid,lava-m,0.741333,0.813333,0.906667,0.914667,0.914667,0.914667
base64,afl-2.51b,valid,lava-m,0.658667,0.661333,0.672,0.672,0.674667,0.674667
base64,afl-2.52b,valid,lava-m,0.989333,1,1,1,1,1
base64,afl-rb,valid,lava-m,1.00533,1.04,1.096,1.09867,1.09867,1.09867
base64,aflfast,valid,lava-m,0.882667,0.885333,0.928,0.928,0.928,0.928
base64,aflgo,valid,lava-m,0.706667,0.741333,0.741333,0.746667,0.746667,0.746667
md5sum,afl-1.94b,valid,lava-m,0.421212,0.478788,0.551515,0.606061,1.32424,1.55152
md5sum,afl-2.40b,valid,lava-m,0.412121,0.421212,0.466667,0.563636,0.645455,0.760606
md5sum,afl-2.49b,valid,lava-m,0.381818,0.390909,0.460606,0.469697,0.512121,0.542424
md5sum,afl-2.51b,valid,lava-m,0.40303,0.484848,0.533333,0.645455,0.709091,0.712121
md5sum,afl-2.52b,valid,lava-m,0.381818,0.472727,0.515152,0.530303,0.575758,1
md5sum,afl-rb,valid,lava-m,0.675758,0.69697,0.739394,0.751515,0.790909,0.806061
md5sum,aflfast,valid,lava-m,0.806061,0.806061,0.806061,0.806061,0.806061,0.806061
md5sum,aflgo,valid,lava-m,0.387879,0.445455,0.481818,0.575758,0.627273,0.678788
uniq,afl-1.94b,valid,lava-m,0.740385,0.961538,0.990385,0.990385,0.990385,0.990385
uniq,afl-2.40b,valid,lava-m,0.923077,0.923077,0.923077,0.951923,0.961538,0.971154
uniq,afl-2.49b,valid,lava-m,0.971154,0.980769,0.980769,1,1,1
